Timestamp,Cats or Dogs or Neither?,What time do you usually get up?,Please Give the Month and Day of Your Birth.,What is your favourite food?,To what degree do you agree with this statement: Chocolate ice cream is delicious.,How many glasses of water do you drink per day?,Which of these locations probably smells the worst?,What is your favourite movie genre?,What time do you usually go to bed?,How much do you think raccoon weighs in kilograms?,How many movies do you watch a month?,"How much wood would a woodchuck chuck, if a woodchuck could chuck wood? (In stere - i.e. a cubic metre)",What day is your mother's birthday?,I was born in Alberta.
11/14/2017 14:22:02,Cats,8 am,November 21st,Onions,Strongly agree,3,Whatever my dog rolled in,Penguin,10:00:00 PM,4,,1 stere to 2 stere,,
11/14/2017 14:25:03,Cats,6 am,November 21st,Pizza,Strongly agree,3,Whatever my dog rolled in,Oryx,10:00:00 PM,,2,.5 stere but less than 1 stere,,
11/14/2017 14:35:58,Cats,6 am,November 21st,Pizza,Strongly agree,3,Whatever my dog rolled in,Drama,10:00:00 PM,8,2,more than 2 stere,2/8,
11/14/2017 14:40:32,Cats,8 am,Nov 21st.,Pizza,Strongly agree,3,A hockey bag forgotten for two weeks in the trunk of a car,Drama,10:00:00 PM,8,2,1 stere to 2 stere,2/8,FALSE
11/14/2017 14:41:42,Dogs,7,April 1,Hamburgers,Agree,4,A chicken coop,spy,11:30:00 PM,6,5,less than .5 stere,9/22,TRUE
11/14/2017 14:43:33,cats,6:30,sept 09,Clams,Neutral,2,The dump,comedy,12:00:00 AM,5,6,more than 2 stere,4/5,FALSE
11/15/2017 9:11:55,Cats,8 am,Nov. 21,Pizza,Agree,6,A chicken coop,Suspense,10:30:00 PM,6,4,.5 stere but less than 1 stere,2/8,TRUE
11/15/2017 9:13:50,Cats,7,09/05,Nachos,Strongly agree,3,A chicken coop,comedy,11:00:00 PM,9,20,more than 2 stere,6/22,FALSE
11/15/2017 9:14:22,Both,7:30 am,March 20,French Fries,Strongly agree,6,A sewer,Horror,12:00:00 PM,8,20,1 stere to 2 stere,6/11,FALSE
11/15/2017 9:15:50,dogs,6:15,October 7th,dal,Neutral,5,The hold on a fishing boat,drama,1:00:00 AM,4,9,.5 stere but less than 1 stere,5/11,TRUE
11/15/2017 9:17:38,cats,7:30,April 4,burritos,Disagree,8,The dump,horror,9:30:00 PM,10,7,more than 2 stere,6/5,FALSE
11/15/2017 10:18:49,Dogs,6:20 am,1989-04-24,Pizza,Strongly disagree,6,A slaughterhouse,Comedies,11:00:00 PM,5,3,more than 2 stere,5/11,FALSE
11/15/2017 13:02:21,Dogs,6:30am,December 2,,Strongly agree,4,The hold on a fishing boat,Drama,11:00:00 PM,4,2,1 stere to 2 stere,11/4,FALSE
11/15/2017 13:03:46,Dogs,7:30am,06/10,lasagne,Agree,6,The hold on a fishing boat,spy,11:30:00 PM,7,a lot,.5 stere but less than 1 stere,10/25,FALSE
11/15/2017 13:04:10,Dogs,8:00 AM,"December, 5th",Pizza,Neutral,3,A slaughterhouse,Comedy,1:00:00 AM,6,10,1 stere to 2 stere,1/1,FALSE
11/15/2017 13:04:18,Cats,7:30am,November 9,Yam and Spinach Stew,Agree,7,A sewer,Comedies,12:00:00 AM,9,3,.5 stere but less than 1 stere,10/10,FALSE
11/16/2017 8:55:14,Cats,8:30,25 August,Poke,Agree,3,A slaughterhouse,Sci-fi,1:00:00 AM,5,2,more than 2 stere,11/12,FALSE
11/16/2017 8:55:43,Neither,6:30,January 10 1964,Hamburgers,Disagree,2,The dump,Spy,12:00:00 AM,3,10,more than 2 stere,10/10,TRUE
11/16/2017 8:56:50,Cats,10:00 am,November 10 1976,Whisky,Neutral,10,The hold on a fishing boat,horror,11:00:00 AM,6,50,.5 stere but less than 1 stere,12/12,FALSE
11/16/2017 8:57:16,Cats!,12pm,Jan 1,Spaghetti,Strongly disagree,12,Whatever my dog rolled in,Comedy,12:00:00 AM,1,20,less than .5 stere,1/10,TRUE
11/16/2017 8:58:05,Dogs,9:00 am,January 27 1989,Timbits,Agree,4,A chicken coop,Anime,7:00:00 PM,4,4,1 stere to 2 stere,2/2,FALSE
11/16/2017 8:59:04,Bats,3 pm,March 17,Timbits,Disagree,20,The hold on a fishing boat,Twilight,3:00:00 PM,3,79,less than .5 stere,9/14,FALSE
11/16/2017 8:59:28,Dogs,4:00 pm,January 2nd 1983,cereal,Agree,3,A hockey bag forgotten for two weeks in the trunk of a car,Spoof,1:00:00 AM,5,2,less than .5 stere,3/3,FALSE
11/16/2017 11:03:05,Dogs,5am,12/12,Chapati,Neutral,3,Whatever my dog rolled in,truestory,11:00:00 PM,4,2,1 stere to 2 stere,11/20,FALSE
